"Occupation Code","Occupational Title","subtot","Occupation Group","2018 Employment","2028 Employment","Numeric Change","Percent Change","Labor Force Exits","Occupational Transfers","Total Separations","Percent Labor Force Exits","Percent Occupational Transfers","Occupational Openings","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","Education","Work Experience"
"251069","Social Sciences Teachers, Postsecondary, All Other","5","Education/Library","20.400000","20.700000",".300000","1.4000",".800000",".900000","1.700000","47.100000000000000000","52.900000000000000000","1.700000","30880","49260","71530","107530","164920","Doctoral or professional degree","None"
"251070","Health Teachers, Postsecondary","3","Education/Library","323.800000","396.700000","72.900000","22.5000","13.300000","16.500000","29.800000","44.600000000000000000","55.400000000000000000","37.100000","43490","60540","89910","141890","","N/A","N/A"
"251071","Health Specialties Teachers, Postsecondary","5","Education/Library","254.800000","313.900000","59.100000","23.2000","10.500000","13.000000","23.500000","44.700000000000000000","55.300000000000000000","29.400000","44350","62350","97320","159950","","Doctoral or professional degree","Less than 5 years"
"251072","Nursing Instructors and Teachers, Postsecondary","5","Education/Library","69.000000","82.800000","13.800000","20.0000","2.800000","3.500000","6.300000","44.400000000000000000","55.600000000000000000","7.700000","41130","56260","74600","99640","133460","Doctoral or professional degree","Less than 5 years"
"251080","Education and Library Science Teachers, Postsecond","3","Education/Library","84.300000","90.700000","6.400000","7.6000","3.200000","4.000000","7.200000","44.400000000000000000","55.600000000000000000","7.900000","32660","48780","66000","91260","127490","N/A","N/A"
"251081","Education Teachers, Postsecondary","5","Education/Library","78.600000","84.700000","6.100000","7.8000","3.000000","3.700000","6.700000","44.800000000000000000","55.200000000000000000","7.400000","31730","47980","65510","91270","128140","Doctoral or professional degree","Less than 5 years"
"251082","Library Science Teachers, Postsecondary","5","Education/Library","5.700000","6.000000",".300000","5.4000",".200000",".300000",".500000","40.000000000000000000","60.000000000000000000",".500000","46230","56750","71410","91160","118330","Doctoral or professional degree","None"
"251110","Law, Criminal Justice, and Social Work Teachers, P","3","Education/Library","57.300000","62.400000","5.100000","8.9000","2.200000","2.700000","4.900000","44.900000000000000000","55.100000000000000000","5.500000","35860","52090","75580","120440","184750","N/A","N/A"
"251111","Criminal Justice and Law Enforcement Teachers, Pos","5","Education/Library","18.100000","19.600000","1.500000","8.1000",".700000",".900000","1.600000","43.800000000000000000","56.300000000000000000","1.700000","35650","48350","62860","88510","125680","Doctoral or professional degree","None"
"251112","Law Teachers, Postsecondary","5","Education/Library","23.100000","25.500000","2.400000","10.3000",".900000","1.100000","2.000000","45.000000000000000000","55.000000000000000000","2.200000","37600","59160","113530","179230","","Doctoral or professional degree","Less than 5 years"
"251113","Social Work Teachers, Postsecondary","5","Education/Library","16.100000","17.300000","1.200000","7.7000",".600000",".800000","1.400000","42.900000000000000000","57.100000000000000000","1.500000","34900","53320","72070","96050","128350","Doctoral or professional degree","None"
"251120","Arts, Communications, and Humanities Teachers, Pos","3","Education/Library","327.000000","348.900000","21.900000","6.7000","12.400000","15.500000","27.900000","44.400000000000000000","55.600000000000000000","30.100000","37560","51510","70550","100210","143790","N/A","N/A"
"251121","Art, Drama, and Music Teachers, Postsecondary","5","Education/Library","118.900000","128.200000","9.300000","7.9000","4.500000","5.700000","10.200000","44.100000000000000000","55.900000000000000000","11.100000","35180","50030","69530","100620","149560","Master's degree","None"
"251122","Communications Teachers, Postsecondary","5","Education/Library","35.800000","37.700000","1.900000","5.2000","1.400000","1.700000","3.100000","45.200000000000000000","54.800000000000000000","3.200000","38160","51470","70630","97920","137830","Doctoral or professional degree","None"
"251123","English Language and Literature Teachers, Postseco","5","Education/Library","83.000000","86.400000","3.400000","4.1000","3.100000","3.900000","7.000000","44.300000000000000000","55.700000000000000000","7.300000","37960","50150","68490","99180","140890","Doctoral or professional degree","None"
"251124","Foreign Language and Literature Teachers, Postseco","5","Education/Library","31.900000","34.400000","2.500000","7.9000","1.200000","1.500000","2.700000","44.400000000000000000","55.600000000000000000","3.000000","40530","53040","69990","99090","135430","Doctoral or professional degree","None"
"251125","History Teachers, Postsecondary","5","Education/Library","25.800000","27.400000","1.600000","6.3000","1.000000","1.200000","2.200000","45.500000000000000000","54.500000000000000000","2.400000","39580","55520","75170","101530","139140","Doctoral or professional degree","None"
"251126","Philosophy and Religion Teachers, Postsecondary","5","Education/Library","31.700000","34.800000","3.100000","9.7000","1.200000","1.500000","2.700000","44.400000000000000000","55.600000000000000000","3.100000","41540","55570","75240","103960","151180","Doctoral or professional degree","None"
"251190","Miscellaneous Postsecondary Teachers","3","Education/Library","538.000000","553.400000","15.400000","2.9000","20.100000","25.000000","45.100000","44.600000000000000000","55.400000000000000000","46.700000","32440","46140","62040","93010","129990","N/A","N/A"
"251191","Graduate Teaching Assistants","5","Education/Library","164.300000","173.400000","9.100000","5.5000","6.200000","7.700000","13.900000","44.600000000000000000","55.400000000000000000","14.900000","","","","","","Bachelor's degree","None"
"251192","Home Economics Teachers, Postsecondary","5","Education/Library","2.500000","2.600000",".100000","3.8000",".100000",".100000",".200000","50.000000000000000000","50.000000000000000000",".200000","36430","54540","76480","101880","137050","Master's degree","None"
"251193","Recreation and Fitness Studies Teachers, Postsecon","5","Education/Library","20.000000","20.900000",".900000","4.5000",".800000",".900000","1.700000","47.100000000000000000","52.900000000000000000","1.800000","33740","47790","64380","92350","127910","Doctoral or professional degree","None"
"251194","Vocational Education Teachers, Postsecondary","5","Education/Library","125.600000","121.800000","-3.800000","-3.0000","4.600000","5.700000","10.300000","44.700000000000000000","55.300000000000000000","9.800000","32840","41970","54620","72460","99230","Bachelor's degree","Less than 5 years"
"251199","Postsecondary Teachers, All Other","5","Education/Library","225.600000","234.600000","9.100000","4.0000","8.500000","10.600000","19.100000","44.500000000000000000","55.500000000000000000","19.900000","31570","50610","68970","104240","144210","Doctoral or professional degree","None"
"252000","Preschool, Primary, Secondary, and Special Educati","3","Education/Library","4344.300000","4512.200000","168.000000","3.9000","140.600000","200.400000","341.000000","41.200000000000000000","58.800000000000000000","357.800000","33590","44680","58050","75780","96330","N/A","N/A"
"252010","Preschool and Kindergarten Teachers","3","Education/Library","658.100000","700.200000","42.100000","6.4000","26.900000","41.300000","68.200000","39.400000000000000000","60.600000000000000000","72.400000","21930","26220","34630","50120","66950","N/A","N/A"
"252011","Preschool Teachers, Except Special Education","5","Education/Library","523.600000","560.500000","36.900000","7.1000","21.500000","32.900000","54.400000","39.500000000000000000","60.500000000000000000","58.100000","21140","24830","30520","39720","55050","Associate's degree","None"
"252012","Kindergarten Teachers, Except Special Education","5","Education/Library","134.500000","139.700000","5.100000","3.8000","5.400000","8.300000","13.700000","39.400000000000000000","60.600000000000000000","14.300000","37420","45720","56850","71470","90180","Bachelor's degree","None"
"252020","Elementary and Middle School Teachers","3","Education/Library","2061.900000","2131.600000","69.700000","3.4000","65.200000","89.400000","154.600000","42.200000000000000000","57.800000000000000000","161.600000","39360","47480","59670","77120","97430","N/A","N/A"
"252021","Elementary School Teachers, Except Special Educati","5","Education/Library","1434.400000","1482.400000","47.900000","3.3000","45.400000","62.200000","107.600000","42.200000000000000000","57.800000000000000000","112.400000","39020","47300","59670","77440","97900","Bachelor's degree","None"
"252022","Middle School Teachers, Except Special and Career/","5","Education/Library","615.700000","637.100000","21.400000","3.5000","19.500000","26.700000","46.200000","42.200000000000000000","57.800000000000000000","48.300000","39990","47850","59660","76430","96280","Bachelor's degree","None"
"252023","Career/Technical Education Teachers, Middle School","5","Education/Library","11.800000","12.100000",".300000","2.7000",".400000",".500000",".900000","44.400000000000000000","55.600000000000000000",".900000","40770","50500","60800","77460","97050","Bachelor's degree","Less than 5 years"
"252030","Secondary School Teachers","3","Education/Library","1149.100000","1188.900000","39.800000","3.5000","32.500000","49.400000","81.900000","39.700000000000000000","60.300000000000000000","85.900000","40690","49210","61660","79580","99340","N/A","N/A"
"252031","Secondary School Teachers, Except Special and Care","5","Education/Library","1072.500000","1110.600000","38.200000","3.6000","30.300000","46.100000","76.400000","39.700000000000000000","60.300000000000000000","80.300000","40540","49060","61660","79820","99660","Bachelor's degree","None"
"252032","Career/Technical Education Teachers, Secondary Sch","5","Education/Library","76.600000","78.300000","1.700000","2.2000","2.200000","3.300000","5.500000","40.000000000000000000","60.000000000000000000","5.600000","42620","51240","61710","76730","94050","Bachelor's degree","Less than 5 years"
